id,Geographic Area,Households Median income (dollars),Year
0400000US02,Alaska,74346,2018
0400000US23,Maine,55602,2018
0400000US37,North Carolina,53855,2018
0400000US29,Missouri,54478,2018
0400000US42,Pennsylvania,60905,2018
0400000US26,Michigan,56697,2018
0400000US31,Nebraska,59566,2018
0400000US41,Oregon,63426,2018
0400000US56,Wyoming,61584,2018
0400000US06,California,75277,2018
0400000US28,Mississippi,44717,2018
0400000US09,Connecticut,76348,2018
0400000US48,Texas,60629,2018
0400000US16,Idaho,55583,2018
0400000US24,Maryland,83242,2018
0400000US35,New Mexico,47169,2018
0400000US01,Alabama,49861,2018
0400000US47,Tennessee,52375,2018
0400000US50,Vermont,60782,2018
0400000US32,Nevada,58646,2018
0400000US54,West Virginia,44097,2018
0400000US40,Oklahoma,51924,2018
0400000US55,Wisconsin,60773,2018
0400000US72,Puerto Rico,20296,2018
0400000US20,Kansas,58218,2018
0400000US51,Virginia,72577,2018
0400000US38,North Dakota,63837,2018
0400000US34,New Jersey,81740,2018
0400000US39,Ohio,56111,2018
0400000US45,South Carolina,52306,2018
0400000US13,Georgia,58756,2018
0400000US08,Colorado,71953,2018
0400000US15,Hawaii,80212,2018
0400000US46,South Dakota,56274,2018
0400000US18,Indiana,55746,2018
0400000US21,Kentucky,50247,2018
0400000US22,Louisiana,47905,2018
0400000US53,Washington,74073,2018
0400000US17,Illinois,65030,2018
0400000US19,Iowa,59955,2018
0400000US33,New Hampshire,74991,2018
0400000US44,Rhode Island,64340,2018
0400000US05,Arkansas,47062,2018
0400000US10,Delaware,64805,2018
0400000US27,Minnesota,70315,2018
0400000US30,Montana,55328,2018
0400000US04,Arizona,59246,2018
0400000US12,Florida,55462,2018
0400000US25,Massachusetts,79835,2018
0400000US11,District of Columbia,85203,2018
0400000US49,Utah,71414,2018
0400000US36,New York,67844,2018
